Location	Group	Cycle	C
4E	KONTROLA	25.85	17.57244
4E	KONTROLA	25.95	16.52795
8E	KONTROLA	28.34	3.73891
8E	KONTROLA	28.21	4.04193
4F	KONTROLA	27.32	7.06412
4F	KONTROLA	27.50	6.28374
8F	KONTROLA	30.18	1.19009
8F	KONTROLA	30.53	0.95233
4G	KONTROLA	26.91	9.09076
4G	KONTROLA	27.36	6.88146
8G	KONTROLA	27.08	8.19541
8G	KONTROLA	27.12	7.97460
12E	7-NI	28.22	4.02527
12E	7-NI	28.55	3.27313
16E	7-NI	28.02	4.54860
16E	7-NI	27.87	5.00845
12F	7-NI	27.59	5.95887
12F	7-NI	27.56	6.07651
16F	7-NI	26.78	9.87153
16F	7-NI	26.77	9.91740
12G	7-NI	27.08	8.17584
12G	7-NI	27.33	7.00539
16G	7-NI	26.27	13.60093
16G	7-NI	26.41	12.43248
20E	L-NAME	27.48	6.36616
20E	L-NAME	27.62	5.84897
20F	L-NAME	27.70	5.56969
20F	L-NAME	27.84	5.10664
24F	L-NAME	27.21	7.56686
24F	L-NAME	27.40	6.72753
20G	L-NAME	25.11	28.00011
20G	L-NAME	25.32	24.51414
24G	L-NAME	28.56	3.25661
24G	L-NAME	28.79	2.81808

