Subject,Trial,Condition,Time,response,correct,angle,correct.incorrect
1,1,R2_3_3_2_0Y0.pct,1355,[n],[n],0,1
1,2,R3_4_3_2_90Y150.pct,2079,[n],[n],150,1
1,3,2_4_4_2_0Y150.pct,1834,[b],[b],150,1
1,4,3_3_3_2_0Y100.pct,4780,[b],[b],100,1
1,5,3_3_3_3_90Y50.pct,1685,[b],[b],50,1
1,6,R2_4_4_2_0Y50.pct,1237,[n],[n],50,1
1,7,R3_3_3_3_90Y100.pct,2961,[n],[n],100,1
1,8,2_3_3_2_0Y0.pct,1275,[b],[b],0,1
1,9,R3_4_3_3_180Y150.pct,4716,[n],[n],150,1
1,10,2_4_4_2_180Y150.pct,3794,[n],[b],150,0
1,11,R3_3_4_2_0Y50.pct,2238,[n],[n],50,1
1,12,R2_3_4_2_90Y0.pct,1524,[n],[n],0,1
1,13,3_3_3_3_180Y0.pct,964,[b],[b],0,1
1,14,R3_4_3_3_180Y100.pct,3770,[n],[n],100,1
1,15,2_4_4_3_90Y100.pct,2750,[b],[b],100,1
1,16,3_4_3_2_90Y50.pct,1226,[b],[b],50,1
1,17,R2_4_4_3_90Y100.pct,1789,[n],[n],100,1
1,18,2_3_3_2_0Y150.pct,1384,[b],[b],150,1
1,19,R2_3_4_2_90Y50.pct,2548,[n],[n],50,1
1,20,2_3_4_2_90Y50.pct,1588,[b],[b],50,1
1,21,R2_4_4_2_180Y100.pct,2114,[n],[n],100,1
1,22,R2_4_4_2_0Y0.pct,2158,[n],[n],0,1
1,23,3_4_3_2_90Y0.pct,1096,[b],[b],0,1
1,24,R3_3_3_2_0Y150.pct,3829,[n],[n],150,1
1,25,R3_4_4_3_180Y150.pct,4725,[n],[n],150,1
1,26,R3_4_3_3_180Y50.pct,3211,[n],[n],50,1
1,27,3_4_3_3_180Y50.pct,1541,[b],[b],50,1
1,28,3_3_3_3_90Y100.pct,3219,[b],[b],100,1
1,29,2_4_4_2_180Y0.pct,1421,[b],[b],0,1
1,30,R3_4_3_2_90Y0.pct,1308,[n],[n],0,1
1,31,3_3_4_2_0Y150.pct,3781,[b],[b],150,1
1,32,R3_3_4_2_0Y100.pct,2665,[n],[n],100,1
1,33,3_3_3_3_180Y50.pct,1831,[n],[b],50,0
1,34,3_3_4_2_0Y100.pct,4636,[b],[b],100,1
1,35,3_4_4_3_180Y150.pct,3149,[b],[b],150,1
1,36,R3_3_3_3_180Y0.pct,1202,[n],[n],0,1
1,37,3_4_3_3_180Y100.pct,2735,[b],[b],100,1
1,38,R3_3_3_3_180Y150.pct,3211,[n],[n],150,1
1,39,3_4_3_3_180Y0.pct,1406,[b],[b],0,1
1,40,R3_3_3_3_90Y50.pct,1383,[n],[n],50,1
1,41,2_4_4_3_90Y150.pct,2668,[b],[b],150,1
1,42,R3_4_3_3_180Y0.pct,2203,[n],[n],0,1
1,43,3_3_3_3_180Y100.pct,5983,[n],[b],100,0
1,44,R2_3_4_2_90Y150.pct,2750,[b],[n],150,0
1,45,R2_3_3_2_0Y50.pct,2672,[n],[n],50,1
1,46,R2_3_4_2_90Y100.pct,1975,[n],[n],100,1
1,47,3_4_4_3_180Y0.pct,1081,[b],[b],0,1
1,48,3_4_4_3_180Y50.pct,2144,[n],[b],50,0
1,49,R2_4_4_2_0Y100.pct,2113,[n],[n],100,1
1,50,R2_3_3_2_0Y150.pct,1967,[n],[n],150,1
1,51,3_3_4_2_0Y0.pct,917,[b],[b],0,1
1,52,R2_4_4_3_90Y0.pct,1510,[n],[n],0,1
1,53,3_4_4_3_180Y100.pct,3031,[b],[b],100,1
1,54,R2_4_4_2_180Y50.pct,1181,[n],[n],50,1
1,55,3_3_3_2_0Y150.pct,5975,[n],[b],150,0
1,56,2_4_4_2_0Y50.pct,1216,[b],[b],50,1
1,57,R2_4_4_2_0Y150.pct,1487,[n],[n],150,1
1,58,R3_4_3_2_90Y100.pct,2208,[n],[n],100,1
1,59,2_3_4_2_90Y150.pct,2007,[b],[b],150,1
1,60,3_4_3_2_90Y100.pct,1594,[n],[b],100,0
1,61,2_4_4_3_90Y0.pct,854,[b],[b],0,1
1,62,R2_4_4_2_180Y0.pct,1791,[n],[n],0,1
1,63,R2_4_4_3_90Y50.pct,2273,[n],[n],50,1
1,64,2_4_4_3_90Y50.pct,1992,[b],[b],50,1
1,65,R2_4_4_2_180Y150.pct,2413,[n],[n],150,1
1,66,3_3_3_3_90Y0.pct,1423,[b],[b],0,1
1,67,3_3_3_3_180Y150.pct,3209,[b],[b],150,1
1,68,R3_3_3_3_90Y0.pct,1435,[n],[n],0,1
1,69,R3_3_3_2_0Y50.pct,2213,[n],[n],50,1
1,70,2_4_4_2_180Y50.pct,2598,[b],[b],50,1
1,71,2_4_4_2_0Y100.pct,2018,[b],[b],100,1
1,72,R3_3_3_2_0Y100.pct,6237,[b],[n],100,0
1,73,2_3_4_2_90Y100.pct,2944,[b],[b],100,1
1,74,R3_3_3_3_180Y100.pct,1448,[n],[n],100,1
1,75,3_3_3_3_90Y150.pct,3868,[b],[b],150,1
1,76,R3_3_4_2_0Y0.pct,4086,[n],[n],0,1
1,77,3_3_3_2_0Y0.pct,1364,[b],[b],0,1
1,78,3_3_3_2_0Y50.pct,2642,[n],[b],50,0
1,79,R3_3_3_3_180Y50.pct,2136,[n],[n],50,1
1,80,R3_3_3_3_90Y150.pct,2775,[n],[n],150,1
1,81,R3_4_4_3_180Y50.pct,2794,[b],[n],50,0
1,82,2_3_4_2_90Y0.pct,742,[b],[b],0,1
1,83,R3_3_4_2_0Y150.pct,2645,[n],[n],150,1
1,84,3_3_4_2_0Y50.pct,3445,[b],[b],50,1
1,85,2_4_4_2_180Y100.pct,1756,[n],[b],100,0
1,86,R3_4_4_3_180Y0.pct,1625,[n],[n],0,1
1,87,3_4_3_3_180Y150.pct,4461,[b],[b],150,1
1,88,R3_4_4_3_180Y100.pct,4260,[n],[n],100,1
1,89,R2_3_3_2_0Y100.pct,2612,[n],[n],100,1
1,90,2_3_3_2_0Y50.pct,1207,[b],[b],50,1
1,91,2_4_4_2_0Y0.pct,831,[b],[b],0,1
1,92,3_4_3_2_90Y150.pct,2740,[b],[b],150,1
1,93,R2_4_4_3_90Y150.pct,2606,[n],[n],150,1
1,94,R3_4_3_2_90Y50.pct,1945,[n],[n],50,1
1,95,2_3_3_2_0Y100.pct,1398,[b],[b],100,1
1,96,R3_3_3_2_0Y0.pct,2720,[n],[n],0,1
10,1,R2_3_3_2_0Y0.pct,4593,[n],[n],0,1
10,2,R3_4_3_2_90Y150.pct,5214,[n],[n],150,1
10,3,2_4_4_2_0Y150.pct,3745,[b],[b],150,1
10,4,3_3_3_2_0Y100.pct,NA,[N/A],[b],100,0
10,5,3_3_3_3_90Y50.pct,3367,[n],[b],50,0
10,6,R2_4_4_2_0Y50.pct,3203,[n],[n],50,1
10,7,R3_3_3_3_90Y100.pct,6480,[n],[n],100,1
10,8,2_3_3_2_0Y0.pct,1331,[b],[b],0,1
10,9,R3_4_3_3_180Y150.pct,6014,[n],[n],150,1
10,10,2_4_4_2_180Y150.pct,3622,[n],[b],150,0
10,11,R3_3_4_2_0Y50.pct,4031,[n],[n],50,1
10,12,R2_3_4_2_90Y0.pct,1379,[n],[n],0,1
10,13,3_3_3_3_180Y0.pct,1812,[b],[b],0,1
10,14,R3_4_3_3_180Y100.pct,3465,[n],[n],100,1
10,15,2_4_4_3_90Y100.pct,5930,[b],[b],100,1
10,16,3_4_3_2_90Y50.pct,NA,[N/A],[b],50,0
10,17,R2_4_4_3_90Y100.pct,117,[b],[n],100,0
10,18,2_3_3_2_0Y150.pct,2982,[n],[b],150,0
10,19,R2_3_4_2_90Y50.pct,1994,[n],[n],50,1
10,20,2_3_4_2_90Y50.pct,1578,[b],[b],50,1
10,21,R2_4_4_2_180Y100.pct,4534,[n],[n],100,1
10,22,R2_4_4_2_0Y0.pct,1380,[n],[n],0,1
10,23,3_4_3_2_90Y0.pct,1687,[b],[b],0,1
10,24,R3_3_3_2_0Y150.pct,2509,[n],[n],150,1
10,25,R3_4_4_3_180Y150.pct,2556,[n],[n],150,1
