Location	Group	Cycle	C
4E	KONTROLA	19.53	19.04396
4E	KONTROLA	19.11	24.88048
8E	KONTROLA	21.21	6.49689
8E	KONTROLA	21.17	6.66367
4F	KONTROLA	20.66	9.25440
4F	KONTROLA	20.38	11.07731
8F	KONTROLA	21.62	5.02441
8F	KONTROLA	21.67	4.83683
4G	KONTROLA	22.16	3.55445
4G	KONTROLA	21.88	4.23317
8G	KONTROLA	19.56	18.67638
8G	KONTROLA	19.66	17.46282
12E	7-NI	21.96	4.02569
12E	7-NI	22.04	3.82756
16E	7-NI	21.04	7.26236
16E	7-NI	21.19	6.59163
12F	7-NI	20.61	9.55852
12F	7-NI	20.66	9.22191
16F	7-NI	21.52	5.34809
16F	7-NI	21.16	6.70787
12G	7-NI	20.92	7.84339
12G	7-NI	20.40	10.93879
16G	7-NI	20.36	11.17923
16G	7-NI	19.23	22.95284
20E	L-NAME	21.30	6.15070
20E	L-NAME	20.44	10.61599
20F	L-NAME	21.55	5.24575
20F	L-NAME	21.66	4.89004
24F	L-NAME	21.02	7.32491
24F	L-NAME	20.59	9.65181
20G	L-NAME	19.61	18.11473
20G	L-NAME	18.60	34.41523
24G	L-NAME	22.79	2.36647	
24G	L-NAME	22.79	2.36647	
