Location	Group	Cycle	C
4E	KONTROLA	25.98	16.64176
4E	KONTROLA	25.87	17.88163
8E	KONTROLA	28.68	2.76723
8E	KONTROLA	28.70	2.73282
4F	KONTROLA	26.84	9.42884
4F	KONTROLA	26.40	12.63885
8F	KONTROLA	29.06	2.15401
8F	KONTROLA	29.05	2.17141
4G	KONTROLA	28.36	3.42726
4G	KONTROLA	29.02	2.21242
8G	KONTROLA	26.55	11.42838
8G	KONTROLA	27.11	7.89061
12E	7-NI	28.34	3.47108
12E	7-NI	28.92	2.36272
16E	7-NI	28.16	3.92559
16E	7-NI	27.71	5.26784
12F	7-NI	27.63	5.56318
12F	7-NI	27.73	5.22521
16F	7-NI	27.39	6.55029
16F	7-NI	27.30	6.94209
12G	7-NI	27.12	7.79086
12G	7-NI	27.44	6.33017
16G	7-NI	26.75	9.99904
16G	7-NI	25.93	17.18211
20E	L-NAME	26.84	9.42884
20E	L-NAME	26.40	12.63885
20F	L-NAME	27.58	5.76029
20F	L-NAME	27.60	5.68509
24F	L-NAME	26.92	8.94265
24F	L-NAME	26.84	9.41185
20G	L-NAME	25.28	26.47230
20G	L-NAME	25.28	26.51032
24G	L-NAME	28.95	2.31058
24G	L-NAME	28.18	3.85288

