Strana,lekári,učitelia,právnici,dôchodcovia
Smer,8,3,16,1
Za ľudí,5,15,11,4
PS/Spolu,3,13,21,null
ĽSNS,4,4,7,9
OĽaNO,7,13,9,2
Sme rodina,3,6,13,2
SNS,6,8,14,2
KDH,12,17,7,2
SaS,5,7,11,4
Most-Híd,6,10,9,6
Dobrá voľba,4,14,15,7
MKS,3,15,8,1
Vlasť,3,5,11,12
Socialisti,1,7,3,13
DS,5,6,3,10
Solidarita,null,5,1,17
Máme toho dosť,null,2,null,2
99 percent,null,1,5,6
Hlas ľudu,1,null,null,1
Hlas pravice,1,1,3,2
PSN,null,null,null,6
SHO,null,null,null,3
Slovenská liga,1,5,4,15
SĽS,null,1,null,3
SNK,null,1,1,1
