Location	Group	Cycle	C
4E	KONTROLA	24.82	17.68092
4E	KONTROLA	24.80	18.00796
8E	KONTROLA	27.12	3.72776
8E	KONTROLA	27.15	3.64468
4F	KONTROLA	26.40	6.07862
4F	KONTROLA	26.66	5.07432
8F	KONTROLA	27.04	3.93726
8F	KONTROLA	27.67	2.55958
4G	KONTROLA	26.61	5.26826
4G	KONTROLA	26.99	4.06270
8G	KONTROLA	25.96	8.19542
8G	KONTROLA	26.01	7.89605
12E	7-NI	27.59	2.71045
12E	7-NI	27.74	2.43785
16E	7-NI	26.57	5.41880
16E	7-NI	26.73	4.83591
12F	7-NI	26.37	6.17073
12F	7-NI	26.45	5.86183
16F	7-NI	25.97	8.10084
16F	7-NI	25.92	8.42467
12G	7-NI	26.16	7.15559
12G	7-NI	26.56	5.42643
16G	7-NI	25.48	11.33570
16G	7-NI	25.70	9.73348
20E	L-NAME	25.62	10.31759
20E	L-NAME	25.72	9.62195
20F	L-NAME	26.04	7.75811
20F	L-NAME	26.04	7.74971
24F	L-NAME	26.18	7.06283
24F	L-NAME	26.11	7.38717
20G	L-NAME	23.73	37.12523
20G	L-NAME	24.49	22.20543
24G	L-NAME	27.01	3.99489
24G	L-NAME	27.21	3.49913

