Location	Group	Cycle	C
4E	KONTROLA	28.45	18.01244
4E	KONTROLA	28.36	18.94679
8E	KONTROLA	31.13	3.75894
8E	KONTROLA	31.00	4.04608
4F	KONTROLA	31.21	3.57835
4F	KONTROLA	30.22	6.38712
8F	KONTROLA	31.48	3.06129
8F	KONTROLA	31.41	3.19964
4G	KONTROLA	30.69	4.86662
4G	KONTROLA	30.49	5.45606
8G	KONTROLA	29.15	11.94014
8G	KONTROLA	29.54	9.53189
12E	7-NI	31.20	3.60872
12E	7-NI	31.31	3.37954
16E	7-NI	30.43	5.67442
16E	7-NI	30.21	6.43172
12F	7-NI	29.83	8.01160
12F	7-NI	29.73	8.52537
16F	7-NI	29.82	8.10212
16F	7-NI	29.96	7.42627
12G	7-NI	29.15	11.94014
12G	7-NI	29.54	9.53189
16G	7-NI	28.61	16.35806
16G	7-NI	28.50	17.42395
20E	L-NAME	29.61	9.15346
20E	L-NAME	29.99	7.31816
20F	L-NAME	29.95	7.47985
20F	L-NAME	30.07	6.99694
24F	L-NAME	29.86	7.89029
24F	L-NAME	29.75	8.44169
20G	L-NAME	27.70	27.94798
20G	L-NAME	28.26	20.15551
24G	L-NAME	30.34	5.97060
24G	L-NAME	30.89	4.33183

